,French,English
0,je,I
1,de,of
2,est,is
3,pas,not
4,le,the
5,vous,you
6,la,the
7,tu,you
8,que,that
9,un,a
10,il,he
11,et,and
13,a,has
14,ne,not
15,les,them
16,ce,this
17,en,in
18,on,we
20,une,a
21,ai,have
22,pour,to
23,des,of the
24,moi,me
25,qui,who
26,nous,we
27,y,Y
28,mais,but
29,me,me
30,dans,in
31,du,from
32,bien,Well
33,elle,she
34,si,if
35,tout,everything
36,plus,more
37,non,Nope
38,mon,my
39,suis,am
40,te,you
41,au,to
42,avec,with
43,va,goes
44,oui,yes
45,toi,you
46,fait,do
47,ils,they
48,as,AS
50,faire,To do
51,se,se
52,comme,as
54,sur,on
55,quoi,what
56,ici,here
57,sais,know
58,lui,him
59,veux,want
60,ma,my
62,rien,nothing
63,dit,said
64,es,es
66,votre,your
67,pourquoi,for what
68,sont,are
69,cette,this
70,quand,when
71,par,by
72,son,his
73,ton,your
74,peux,can
75,vais,go
76,dire,say
77,alors,then
78,comment,How? 'Or' What
79,avez,have
80,bon,Well
81,ou,Where
83,merci,thank you
84,ont,have
86,jamais,never
87,aussi,Also
88,voir,see
89,chose,thing
90,allez,go
91,tous,all
92,deux,of them
93,ces,these
94,faut,should
95,sa,her
98,ta,your
99,fais,do
100,avoir,to have
101,peut,can
102,autre,other
103,m,M
104,encore,again
105,maintenant,now
106,peu,little
107,mes,my
108,vraiment,really
109,temps,time
110,notre,our
111,toujours,always
112,vie,life
113,sans,without
114,juste,just
115,oh,Oh
116,avait,had
117,accord,deal
118,vu,seen
119,monde,world
120,quelque,some
121,fois,time
122,aller,go
123,trop,too
124,viens,come
125,crois,believe
126,dieu,god
127,dois,must
128,homme,male
131,aux,to the
132,leur,their
133,avant,before
135,besoin,need
136,femme,women
137,aime,love
138,personne,person
139,avais,had
140,chez,at the house of
141,ans,year
142,mal,wrong
143,ses,his
144,parler,to speak
145,vos,your
147,mort,dead
148,veut,wants
149,eu,eu
150,sera,will be
151,bonne,good
152,parce,by
153,mieux,better
154,petit,small
156,tes,your
157,ca,that
158,dis,say
159,beaucoup,many
160,depuis,since
161,doit,must
162,vois,see
164,vas,go
165,monsieur,sir
166,quel,what
168,fille,daughter
169,gens,people
170,donc,So
171,jour,day
172,soir,evening
173,autres,others
174,ii,II
175,toute,all
176,bonjour,hello
177,ll,ll
178,maison,home
179,nom,name
180,argent,money
181,nos,our
182,ouais,yeah
183,pense,thought
184,merde,shit
185,nuit,night
186,papa,dad
187,cela,that
188,salut,Hi
189,cet,this
190,avons,have
191,reste,rest
193,maman,mom
194,peur,fear
195,arrive,arrived
196,seul,Alone
197,vite,quickly
198,prendre,take
